id,block,measurement,CS,rating,group,tactor
8,BL_acq1,1,CSminus,4,1,below
8,BL_acq1,1,CSplus,4,1,above
8,acq1_2,2,CSplus,3,1,above
8,acq1_2,2,CSminus,3,1,below
8,acq2_3,3,CSminus,2,1,below
8,acq2_3,3,CSplus,1,1,above
8,acq_test,4,CSminus,2,1,below
8,acq_test,4,CSplus,2,1,above
8,test1_2,5,CSminus,2,1,below
8,test1_2,5,CSplus,3,1,above
8,test2_3,6,CSminus,2,1,below
8,test2_3,6,CSplus,3,1,above
8,after_test3,7,CSminus,2,1,below
8,after_test3,7,CSplus,3,1,above
9,BL_acq1,1,CSminus,2,2,above
9,BL_acq1,1,CSplus,2,2,below
9,acq1_2,2,CSminus,5,2,above
9,acq1_2,2,CSplus,5,2,below
9,acq2_3,3,CSminus,1,2,above
9,acq2_3,3,CSplus,8,2,below
9,acq_test,4,CSminus,4,2,above
9,acq_test,4,CSplus,9,2,below
9,test1_2,5,CSminus,5,2,above
9,test1_2,5,CSplus,8,2,below
9,test2_3,6,CSminus,4,2,above
9,test2_3,6,CSplus,7,2,below
9,after_test3,7,CSplus,6,2,below
9,after_test3,7,CSminus,5,2,above
10,BL_acq1,1,CSminus,0,2,above
10,BL_acq1,1,CSplus,0,2,below
10,acq1_2,2,CSminus,1,2,above
10,acq1_2,2,CSplus,4,2,below
10,acq2_3,3,CSplus,2,2,below
10,acq2_3,3,CSminus,4,2,above
10,acq_test,4,CSplus,2,2,below
10,acq_test,4,CSminus,7,2,above
10,test1_2,5,CSplus,5,2,below
10,test1_2,5,CSminus,5,2,above
10,test2_3,6,CSminus,6,2,above
10,test2_3,6,CSplus,6,2,below
10,after_test3,7,CSplus,4,2,below
10,after_test3,7,CSminus,8,2,above
11,BL_acq1,1,CSminus,2,1,below
11,BL_acq1,1,CSplus,3,1,above
11,acq1_2,2,CSminus,1,1,below
11,acq1_2,2,CSplus,3,1,above
11,acq2_3,3,CSplus,4,1,above
11,acq2_3,3,CSminus,1,1,below
11,acq_test,4,CSminus,1,1,below
11,acq_test,4,CSplus,6,1,above
11,test1_2,5,CSminus,5,1,below
11,test1_2,5,CSplus,6,1,above
11,test2_3,6,CSplus,6,1,above
11,test2_3,6,CSminus,5,1,below
11,after_test3,7,CSplus,7,1,above
11,after_test3,7,CSminus,4,1,below
12,BL_acq1,1,CSplus,1,1,above
12,BL_acq1,1,CSminus,5,1,below
12,acq1_2,2,CSplus,4,1,above
12,acq1_2,2,CSminus,3,1,below
12,acq2_3,3,CSminus,2,1,below
12,acq2_3,3,CSplus,6,1,above
12,acq_test,4,CSminus,2,1,below
12,acq_test,4,CSplus,8,1,above
12,test1_2,5,CSplus,7,1,above
12,test1_2,5,CSminus,3,1,below
12,test2_3,6,CSminus,0,1,below
12,test2_3,6,CSplus,4,1,above
12,after_test3,7,CSminus,1,1,below
12,after_test3,7,CSplus,3,1,above
14,BL_acq1,1,CSplus,5,2,below
14,BL_acq1,1,CSminus,2,2,above
14,acq1_2,2,CSplus,5,2,below
14,acq1_2,2,CSminus,4,2,above
14,acq2_3,3,CSplus,8,2,below
14,acq2_3,3,CSminus,1,2,above
14,acq_test,4,CSplus,8,2,below
14,acq_test,4,CSminus,1,2,above
14,test1_2,5,CSplus,7,2,below
14,test1_2,5,CSminus,1,2,above
14,test2_3,6,CSminus,7,2,above
14,test2_3,6,CSplus,8,2,below
14,after_test3,7,CSminus,6,2,above
14,after_test3,7,CSplus,6,2,below
15,BL_acq1,1,CSplus,1,2,below
15,BL_acq1,1,CSminus,1,2,above
15,acq1_2,2,CSplus,1,2,below
15,acq1_2,2,CSminus,1,2,above
15,acq2_3,3,CSminus,2,2,above
15,acq2_3,3,CSplus,2,2,below
15,acq_test,4,CSplus,1,2,below
15,acq_test,4,CSminus,1,2,above
15,test1_2,5,CSplus,2,2,below
15,test1_2,5,CSminus,1,2,above
15,test2_3,6,CSplus,1,2,below
15,test2_3,6,CSminus,2,2,above
15,after_test3,7,CSplus,1,2,below
15,after_test3,7,CSminus,1,2,above
16,BL_acq1,1,CSminus,0,2,above
16,BL_acq1,1,CSplus,0,2,below
16,acq1_2,2,CSplus,10,2,below
16,acq1_2,2,CSminus,0,2,above
16,acq2_3,3,CSplus,10,2,below
16,acq2_3,3,CSminus,0,2,above
16,acq_test,4,CSminus,0,2,above
16,acq_test,4,CSplus,10,2,below
16,test1_2,5,CSplus,8,2,below
16,test1_2,5,CSminus,0,2,above
16,test2_3,6,CSplus,9,2,below
16,test2_3,6,CSminus,4,2,above
16,after_test3,7,CSplus,3,2,below
16,after_test3,7,CSminus,6,2,above
17,BL_acq1,1,CSplus,1,1,above
17,BL_acq1,1,CSminus,1,1,below
17,acq1_2,2,CSplus,3,1,above
17,acq1_2,2,CSminus,2,1,below
17,acq2_3,3,CSplus,4,1,above
17,acq2_3,3,CSminus,3,1,below
17,acq_test,4,CSplus,3,1,above
17,acq_test,4,CSminus,2,1,below
17,test1_2,5,CSminus,2,1,below
17,test1_2,5,CSplus,3,1,above
17,test2_3,6,CSplus,3,1,above
17,test2_3,6,CSminus,2,1,below
17,after_test3,7,CSminus,3,1,below
17,after_test3,7,CSplus,4,1,above
19,BL_acq1,1,CSminus,0,2,above
19,BL_acq1,1,CSplus,0,2,below
19,acq1_2,2,CSplus,1,2,below
19,acq1_2,2,CSminus,0,2,above
19,acq2_3,3,CSplus,7,2,below
19,acq2_3,3,CSminus,5,2,above
19,acq_test,4,CSplus,8,2,below
19,acq_test,4,CSminus,2,2,above
19,test1_2,5,CSminus,0,2,above
19,test1_2,5,CSplus,10,2,below
19,test2_3,6,CSplus,9,2,below
19,test2_3,6,CSminus,1,2,above
19,after_test3,7,CSminus,0,2,above
19,after_test3,7,CSplus,9,2,below
21,BL_acq1,1,CSplus,1,1,above
21,BL_acq1,1,CSminus,1,1,below
21,acq1_2,2,CSplus,6,1,above
21,acq1_2,2,CSminus,1,1,below
21,acq2_3,3,CSminus,1,1,below
21,acq2_3,3,CSplus,6,1,above
21,acq_test,4,CSminus,1,1,below
21,acq_test,4,CSplus,7,1,above
21,test1_2,5,CSplus,5,1,above
21,test1_2,5,CSminus,0,1,below
21,test2_3,6,CSplus,4,1,above
21,test2_3,6,CSminus,0,1,below
21,after_test3,7,CSminus,0,1,below
21,after_test3,7,CSplus,2,1,above
22,BL_acq1,1,CSminus,0,2,above
22,BL_acq1,1,CSplus,0,2,below
22,acq1_2,2,CSplus,3,2,below
22,acq1_2,2,CSminus,3,2,above
22,acq2_3,3,CSplus,5,2,below
22,acq2_3,3,CSminus,5,2,above
22,acq_test,4,CSminus,4,2,above
22,acq_test,4,CSplus,5,2,below
22,test1_2,5,CSplus,8,2,below
22,test1_2,5,CSminus,4,2,above
22,test2_3,6,CSplus,6,2,below
22,test2_3,6,CSminus,5,2,above
22,after_test3,7,CSplus,3,2,below
22,after_test3,7,CSminus,0,2,above
23,BL_acq1,1,CSminus,7,2,above
23,BL_acq1,1,CSplus,5,2,below
23,acq1_2,2,CSplus,7,2,below
23,acq1_2,2,CSminus,6,2,above
23,acq2_3,3,CSplus,6,2,below
23,acq2_3,3,CSminus,7,2,above
23,acq_test,4,CSminus,NA,2,above
23,test1_2,5,CSplus,NA,2,below
23,test2_3,6,CSminus,NA,2,above
23,after_test3,7,CSplus,NA,2,below
24,BL_acq1,1,CSminus,1,2,above
24,BL_acq1,1,CSplus,1,2,below
24,acq1_2,2,CSplus,2,2,below
24,acq1_2,2,CSminus,0,2,above
24,acq2_3,3,CSminus,0,2,above
24,acq2_3,3,CSplus,2,2,below
24,acq_test,4,CSplus,1,2,below
24,acq_test,4,CSminus,1,2,above
24,test1_2,5,CSplus,3,2,below
24,test1_2,5,CSminus,1,2,above
24,test2_3,6,CSplus,5,2,below
24,test2_3,6,CSminus,3,2,above
24,after_test3,7,CSminus,4,2,above
24,after_test3,7,CSplus,6,2,below
25,BL_acq1,1,CSplus,0,1,above
25,BL_acq1,1,CSminus,0,1,below
25,acq1_2,2,CSplus,2,1,above
25,acq1_2,2,CSminus,2,1,below
25,acq2_3,3,CSplus,2,1,above
25,acq2_3,3,CSminus,1,1,below
25,acq_test,4,CSminus,2,1,below
25,acq_test,4,CSplus,1,1,above
25,test1_2,5,CSminus,1,1,below
25,test1_2,5,CSplus,3,1,above
25,test2_3,6,CSplus,3,1,above
25,test2_3,6,CSminus,1,1,below
25,after_test3,7,CSminus,0,1,below
25,after_test3,7,CSplus,2,1,above
26,BL_acq1,1,CSminus,2,1,below
26,BL_acq1,1,CSplus,4,1,above
26,acq1_2,2,CSplus,5,1,above
26,acq1_2,2,CSminus,3,1,below
26,acq2_3,3,CSminus,7,1,below
26,acq2_3,3,CSplus,3,1,above
26,acq_test,4,CSplus,8,1,above
26,acq_test,4,CSminus,2,1,below
26,test1_2,5,CSminus,3,1,below
26,test1_2,5,CSplus,7,1,above
26,test2_3,6,CSminus,3,1,below
26,test2_3,6,CSplus,7,1,above
26,after_test3,7,CSplus,7,1,above
26,after_test3,7,CSminus,3,1,below
27,BL_acq1,1,CSminus,0,2,above
27,BL_acq1,1,CSplus,0,2,below
27,acq1_2,2,CSminus,3,2,above
27,acq1_2,2,CSplus,3,2,below
27,acq2_3,3,CSminus,4,2,above
27,acq2_3,3,CSplus,4,2,below
27,acq_test,4,CSminus,3,2,above
27,acq_test,4,CSplus,5,2,below
27,test1_2,5,CSminus,2,2,above
27,test1_2,5,CSplus,5,2,below
27,test2_3,6,CSminus,3,2,above
27,test2_3,6,CSplus,5,2,below
27,after_test3,7,CSminus,3,2,above
27,after_test3,7,CSplus,7,2,below
28,BL_acq1,1,CSplus,0,2,below
28,BL_acq1,1,CSminus,0,2,above
28,acq1_2,2,CSminus,0,2,above
28,acq1_2,2,CSplus,0,2,below
28,acq2_3,3,CSminus,0,2,above
28,acq2_3,3,CSplus,0,2,below
28,acq_test,4,CSminus,0,2,above
28,acq_test,4,CSplus,1,2,below
28,test1_2,5,CSminus,2,2,above
28,test1_2,5,CSplus,2,2,below
28,test2_3,6,CSplus,3,2,below
28,test2_3,6,CSminus,2,2,above
28,after_test3,7,CSminus,5,2,above
28,after_test3,7,CSplus,1,2,below
29,BL_acq1,1,CSminus,1,1,below
29,BL_acq1,1,CSplus,1,1,above
29,acq1_2,2,CSplus,8,1,above
29,acq1_2,2,CSminus,2,1,below
29,acq2_3,3,CSplus,10,1,above
29,acq2_3,3,CSminus,2,1,below
29,acq_test,4,CSplus,10,1,above
29,acq_test,4,CSminus,0,1,below
29,test1_2,5,CSminus,7,1,below
29,test1_2,5,CSplus,3,1,above
29,test2_3,6,CSminus,2,1,below
29,test2_3,6,CSplus,9,1,above
29,after_test3,7,CSminus,1,1,below
29,after_test3,7,CSplus,9,1,above
30,BL_acq1,1,CSminus,0,1,below
30,BL_acq1,1,CSplus,0,1,above
30,acq1_2,2,CSplus,3,1,above
30,acq1_2,2,CSminus,2,1,below
30,acq2_3,3,CSminus,2,1,below
30,acq2_3,3,CSplus,5,1,above
30,acq_test,4,CSminus,6,1,below
30,acq_test,4,CSplus,2,1,above
30,test1_2,5,CSplus,6,1,above
30,test1_2,5,CSminus,4,1,below
30,test2_3,6,CSplus,6,1,above
30,test2_3,6,CSminus,4,1,below
30,after_test3,7,CSplus,6,1,above
30,after_test3,7,CSminus,5,1,below
